,stock,material,descripcion,tipoMaterial,umb,mat,sm,grupo,jerarquia,numerofab,fabricante,extension,creado,modificado
0,71000000091,91000000001,"WIRE, NONELECTRICAL",HERS,M,,,261215,,10011477,CENTELSA,,2016-04-27,2022-10-03
1,71000000091,91000000002,"WIRE, NONELECTRICAL",HERS,M,,,261215,,200303,CENTELSA,,2016-04-27,2022-10-03
2,71000000091,91000000003,"WIRE, NONELECTRICAL",HERS,M,X,,261215,,200354,CENTELSA,,2016-04-27,2022-10-03
3,71000000125,91000000004,"WIRE, NONELECTRICAL",HERS,M,,,261215,,2051016R - NEGRO,CENTELSA,,2016-04-27,2022-10-03
4,71000000158,91000252927,"CABLE ASSEMBLY, POWER, ELECTRICAL",HERS,M,,,261216,,C THHN/THWN 90ÃÂ°C CU 2 AWG 600,CENTELSA,,2016-04-27,2022-10-03
5,71000000182,91000000006,"CABLE ASSEMBLY, POWER, ELECTRICAL",HERS,M,,,261216,,4 CAUCA,CEAT-GEN,,2016-04-27,2022-10-03
6,71000000182,91000000007,"CABLE ASSEMBLY, POWER, ELECTRICAL",HERS,M,,,261216,,CABLE 4AWG-THW,CEAT-GEN,,2016-04-27,2022-10-03
7,71000000182,91000000008,"CABLE ASSEMBLY, POWER, ELECTRICAL",HERS,M,,,261216,,10011394,CENTELSA,,2016-04-27,2022-10-03
8,71000000182,91000000009,"CABLE ASSEMBLY, POWER, ELECTRICAL",HERS,M,,,261216,,2004008S,CENTELSA,,2016-04-27,2022-10-03
9,71000000182,91000252928,"CABLE ASSEMBLY, POWER, ELECTRICAL",HERS,M,,,261216,,C THHN/THWN 90ÃÂ°C CU 4 AWG 600,CENTELSA,,2016-04-27,2022-10-03
10,71000000182,91500024770,TEST AFTER BLACK OUT,HERS,M,,,1,,1234,SIEMENS,,2017-06-20,2017-06-20
11,71000000182,91500024780,TEST AFTER BLACK OUT,HERS,M,,,1,,123,AB,,2017-06-14,
12,71000000208,91000000011,"CABLE ASSEMBLY, POWER, ELECTRICAL",HERS,M,,,261216,,CABLE 6AWG-THW,CEAT-GEN,,2016-04-27,2022-10-03
13,71000000208,91000000013,"CABLE ASSEMBLY, POWER, ELECTRICAL",HERS,M,,,261216,,CABLE 6AWG-THW,CENTELSA,,2016-04-27,2022-10-03
14,71000000208,91000252929,"CABLE ASSEMBLY, POWER, ELECTRICAL",HERS,M,,,261216,,C THHN/THWN 90ÃÂ°C CU 6 AWG 600,CENTELSA,,2016-04-27,2022-10-03
15,71000000257,91000000014,"CABLE ASSEMBLY, POWER, ELECTRICAL",HERS,M,,,261216,,NOT AVAIBLE,CENTELSA,,2016-04-27,2022-10-03
16,71000000257,91000000015,"CABLE ASSEMBLY, POWER, ELECTRICAL",HERS,M,,,261216,,000220053,FUSION,,2016-04-27,2022-10-03
17,71000000281,91000000016,"CABLE ASSEMBLY, POWER, ELECTRICAL",HERS,M,,,261216,,NOT AVAIBLE,CENTELSA,,2016-04-27,2022-10-03
18,71000000299,91000000017,"CABLE ASSEMBLY, POWER, ELECTRICAL",HERS,M,,,261216,,THHN/THWN 12 AWG,CENTELSA,,2016-04-27,2022-10-03
19,71000000315,91000000018,"CABLE ASSEMBLY, POWER, ELECTRICAL",HERS,M,,,261216,,CABLE 14AWG-THW,CEAT-GEN,,2016-04-27,2022-10-03
20,71000000315,91000252930,"CABLE ASSEMBLY, POWER, ELECTRICAL",HERS,M,,,261216,,C THHN/THWN 90ÃÂ°C CU 14 AWG 600,CENTELSA,,2016-04-27,2022-10-03
